"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2006" 
"10180","Abilene, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24490 
"10420","Akron, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32889 
"10500","Albany, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24269 
"10580","Albany-Schenectady-Troy, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36836 
"10740","Albuquerque, NM (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,37657 
"10780","Alexandria, LA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25494 
"10900","Allentown-Bethlehem-Easton, PA-NJ (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,30165 
"11020","Altoona, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27008 
"11100","Amarillo, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29360 
"11180","Ames, IA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,35574 
"11260","Anchorage, AK (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,49502 
"11300","Anderson, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,23313 
"11340","Anderson, SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22939 
"11460","Ann Arbor, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,46687 
"11500","Anniston-Oxford, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27198 
"11540","Appleton, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36436 
"11700","Asheville, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28183 
"12020","Athens-Clarke County, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26922 
"12060","Atlanta-Sandy Springs-Marietta, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,44771 
"12100","Atlantic City-Hammonton, NJ (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42451 
"12220","Auburn-Opelika, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22206 
"12260","Augusta-Richmond County, GA-SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27264 
"12420","Austin-Round Rock, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43203 
"12540","Bakersfield, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25190 
"12580","Baltimore-Towson, MD (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,40413 
"12620","Bangor, ME (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29846 
